field_1,Name,Hanzi,Polity,location,Latitude,Longitude,field_8,field_9,field_10
,Dongyang,東陽 (3),Jin,"Around Handan 邯鄲縣 and Xingtai Co 邢台縣, Hebei",37.0862699,114.54489,Xiang 23.4; Zhao 22.4.,,
,Dongyu,東圉,Zhou,"SW of Yanshi Co 偃師縣, Henan",34.7264684,112.76553,Zhao 22.5,,
,Dongzi,東訾,Zhou,"In Gong Co 鞏縣, Henan",34.7479799,113.02206,"Zhao 24.8, 25.7",,
,Doucheng,斗城,Zheng,"NE of Tongxu Co 通許縣, Henan",34.4804399,114.46741,Xiang 30.10,,
,Duandao,斷道,Jin,"W of Jiyuan Co 濟源縣, Henan",35.0745099,112.60383,"Xuan 17.6(C), 17.1",,
,Dun,頓,"Dom, later Chu","Nandun Old Town 南頓故城, W of Xiangcheng Co 項城縣, Henan",33.46819258,114.8706165,Xi 23.3,,
,Duoyu,多魚,Que,"In Yucheng Co 虞城縣, Henan",34.406742,115.864501,Xi 2.4,,
,Duyang(1).,督揚,Qi.,"Modern Zhuke 祝柯, NE of Changqing Co 長清縣, Shandong.",36.5535799,116.75199,"Xiang 19.1, 20.1.",,
,Duyang  (2). . .,督揚,Zheng,Unk,40.7011879,-99.1014292,Cheng 16.8.,,
,E,鄂,Jin,"S of Xiangning Co 鄉寧縣, Shanxi",35.9708125,110.8472604,Yin 6.2,,
,Ecao,惡曹,Wei,"SE of Yanjin Co 延津縣, Henan",35.1419399,114.20515,"Huan 11.1(C), 11.1",,
,Er  (river).  .,濡,Yan.,"NW of Renqiu Co 任丘縣, Hebei",38.7116399,116.09954,Zhao 7.1.,,
,Fan,凡,Dom,"SW of Hui Co 輝縣, Henan",35.4621199,113.8054,Xi 24.2; Xiang 12.3,,
,Fan,氾 (1),Zheng,"S of Xiangcheng Co 襄城縣, Henan",33.8507199,113.50669,"Xi 24.2, 24.5; Cheng 7.4; Zhao 5.2.",,
,Fan  .,氾 (2).,Zhou,"NE of Gong Co 鞏縣, Henan.",34.7479799,113.02206,Zhao 22.5,,
,Fan,樊,Jin,"P, Yangfan 陽樊 SE of Jiyuan Co 濟源縣, Henan.",35.0745099,112.60383,Yin 11.5; Zhuang 30.1.,,
,Fang . .,防 (1),"Lu, formerly Song","NE of Fei Co, 費縣, Shandong.",35.2665899,117.9771099,"Yin 9.6(C); Zhuang 7.1(C), 7.1, 22.5(C), 29.5(C), 29.4; Xiang 13.4(C), 13.6, 17.4(C), 17.3, 23.5.",,
,Fang.,防 (2),"Song, later Lu.","SW of Jinxiang Co 金鄉縣, Shandong.",35.0666099,116.31148,Yin 10.3(C),,
,Fang,防 (3),"Ju, later returned to Lu","SW of Anqiu Co 安丘縣, Shandong",36.36104,119.16773,"Zhao 5.4(C), 5.6.",,
,Fang . .,房 (1),Dom,"General area of Suiping Co 遂平縣, Henan.",33.1450469,114.0015478,Zhao 13.5,,
,Fang,房 (防) (2),Lu,"E of Qufu Co 曲阜縣, Shandong",35.53986,117.04719,"Xi 14.2(C), 14.2; Ding 5.4",,
,Fangcheng,方城 (1),Yong,"E of Zhushan Co 竹山縣, Hubei",32.2246799,110.22879,Wen 16.4,,
,Fangcheng,方城 (2),Chu,Unk,40.7011879,-99.1014292,Xi 4.1,,
,Fangzhong,房鐘,Wu,"Modern Kantuan Town 闞疃鎮, SW of Mengcheng Co 蒙城縣, Anhui",33.004662,116.322456,Zhao 6.9,,
,Fangzhu,防渚,Chu,"In Fang Co 房縣, Hubei",32.0555199,110.74116,Wen 11.1,,
,Fanyang,繁揚 (繁陽),Chu,"N of Xincai Co 新蔡縣, Henan",32.74804,114.97608,"Zhao 5.8; Ding 6.4, Xiang 4.1",,
,Feather Mount .,羽山,,"P NW of Donghai Co東海縣, Jiangsu.",34.54239,118.75303,Zhao 7.7.,,
,Fei,肥,Dom,"Feiziguo Old Town 肥子國故城, Dongyetou Town 東冶頭鎮, Xiyang Co 昔陽縣, Shanxi",37.639189,113.94865,"Zhao 12.7, 12.12.",,
,Fei . .,棐,Zheng,"N of Xinzheng Co 新鄭縣, Henan.",34.39603,113.73097,Wen 13.9(C),,
,Fen,汾,Chu,"SW of Xuchang City 許昌市, Henan",34.1259599,113.82272,Xiang 18.4,,
,Fen River,汾川,Jin,"Flows from SW of Ningwu Co 寧武縣 to NE of Houma City 侯馬市 and SW of Hejin Co 河津縣, entering the Yellow River 黃河, Shanxi",35.5964299,110.71186,Xi 16.3; Cheng 6.5; Zhao 1.12.,,
,Feng . .,馮,Zhou,"Near Luoyang City 洛陽市, Henan.",34.6181299,112.45402,Ding 6.5,,
,Feng,豐,Chu,"SW of Xichuan Co 淅川縣, Henan",33.0333333,111.55,Ai 4.2,,
,Feng,酆,"Dom, CN Ji 姬","E of Hu Co 戶縣, Shaanxi",34.1084699,108.60494,Xi 24.2,,
,Feng Marsh,逢澤,Song,"N of cap S of Shangqiu City 商丘市, Henan.",34.4142699,115.65635,Ai 14.4,,
,Fenquan,蚡泉,Lu,Unk,40.7011879,-99.1014292,"Border of Lu and Ju. Zhao 5.6(C), 5.7",,
,Four Peaks,四嶽,"Ancient Taishan 泰山, Huashan 華山, Hengshan 衡山, and Hengshan 恒山",Unk,40.7011879,-99.1014292,Zhao 4.1.,,
,Fuhan . .,負函,Chu,"In Nanyang Co 南陽縣, Henan.",32.68649,112.60989,Ai 4.2,,
,Fujiao,夫椒,Wu,"Near Shaoxing Co 紹興縣, Zhejiang",29.930851,120.503422,Ai 1.2,,
,Fulai,浮來,Ju,"W of Ju Co 莒縣, Shandong",35.5799699,118.83687,"Yin 8.7(C), 8.7",,
,Fuqu,夫渠,Song,"Between Shangqiu Co 商丘縣 and Ningling Co 寧陵縣, Henan",34.573815,115.318084,Cheng 16.3.,,
,Fushan . .,阜山,Chu,"S of Fang Co 房縣, Hubei.",32.0555199,110.74116,Wen 16.4,,
,Fushi . . .,輔氏,Jin,"E of Dali Co 大荔縣, Shaanxi",34.7956039,109.9420041,Xuan 15.5; Cheng 13.3; Xiang 11.6.,,
,Fushu,負黍,Zhou,"SW of Dengfeng Co 登封縣, Henan",34.45488,113.01869,Ding 6.5,,
,Fuxia,負瑕,Lu,"W of Yanzhou Co 兖州縣, Shandong",35.51628,116.79961,Ai 7.4,,
,Fuyu,夫于,Qi,"Near former Changshan Co 長山縣, Shandong",36.6682599,117.02076,Zhao 10.2,,
,Fuzhong . .,夫鐘,"Cheng, later Lu","NE of Wenshang Co 汶上縣, Shandong.",35.728057,116.491267,"Huan 11.6(C); Wen 11.6, 12.1.",,
,Gangshan,岡山,Chu,Unk,40.7011879,-99.1014292,Zhao 11.8,,
,Ganhou,乾侯,Jin,"SE of Cheng’an Co 成安縣, Hebei",36.442643,114.690184,"Zhao 25.4, 28.2(C), 28.1, 29.1(C), 29.2(C), 29.1, 29.3, 30.1(C), 30.1, 31.1(C), 31.4(C), 31.1, 32.1(C), 32.6(C), 32.1, 32.4; Ding 1.3(C), 1.2, 1.3; Ai 1.5. See map 3",,
,Ganlu,甘鹿,Zhou,"NW of Song Co 嵩縣, Henan",34.129408,112.086226,Zhao 17.4,,
,Ganshi,乾時,Qi,"SW of Linzi 臨淄, Zibo City 淄博市, Shandong",36.85287,118.302,"Zhuang 9.5(C), 9.4",,
,Ganxi,乾谿,Chu,"SE of Bo Co 亳縣, Anhui",31.8615699,117.28565,"Zhao 6.9, 12.11, 13.2(C), 13.2",,
,Gao,郜 (1),"Dom, CN Ji 姬","SE of Chengwu Co 成武縣, Shandong",34.9757025,115.9889939,Xi 24.2,,
,Gao,郜 (3),Jin,Unk,40.7011879,-99.1014292,Cheng 13.3,,
,Gao,臯,Rong,"Near Luoyang City 洛陽市, Henan",34.6181299,112.45402,Xi 11.3,,
,Gaoliang,高梁,Jin,"NE of Linfen City 臨汾市, Shanxi",36.0882199,111.51962,"Xi 9.5, 15.4, 24.1",,
,Gaoshi,高氏,Zheng,"SW of Yu Co 禹縣, Henan",34.7657099,113.75322,Cheng 17.1,,
,Gaotang,高唐,Qi,"E of Gaotang Co 高唐縣, Shandong",36.91778,116.2323,"Xiang 19.1, 19.5, 25.2; Zhao 10.2; Ai 10.4.",,
,Gaoyou,皋鼬.,,"S of Linying Co 臨潁縣, Henan.",33.8296951,113.9674515,"Ding 4.4(C), 4.1",,
,Gaoyu,高魚,Lu,"N of Yuncheng Co 鄆城縣, Shandong",35.4139399,115.83012,Xiang 26.14,,
,Gaozhou,臯舟,Wu,Unk,40.7011879,-99.1014292,Xiang 14.7,,
,Gate of Qiong,窮門,,"S of Luoyang City 洛陽市, Henan.",34.6181299,112.45402,.Xiang 4.7.,,
,Ge,葛,"Dom, CN Yin 嬴","P, N of Ningling Co 寧陵縣, Henan",34.573815,115.318084,Huan 15.8(C),,
,Geng,耿,Dom,"SE of Hejin Co 河津縣, Shanxi",35.5964299,110.71186,Min 1.6,,
,Geng,郠,"Ju, later taken by Lu","In Yishui Co 沂水縣, Shandong",35.7903399,118.62782,"Zhao 10.3, 12.4, 13.3",,
,Gengyang,梗陽,Jin,"In Qingxu Co 清徐縣, Shanxi",37.6085599,112.35925,"Xiang 18.3; Zhao 28.3, 28.4",,
