ogc_fid,field_1,name,hanzi,polity,location,latitude,longitude,entries,field_9,field_10,GEOMETRY,years
241,,Hengshan,衡山 (mountain),Wu,"Modern Heng Mountain 衡山, Dangtu Co 當涂縣, Anhui",31.3000711,118.6982059,Xiang 3.1,,,b'\x00\x01\xe6\x10\x00\x00\xf4\x97\xccg\xaf\xac]@\x89\xf9\xa8u\xd1L?@\xf4\x97\xccg\xaf\xac]@\x89\xf9\xa8u\xd1L?@|\x01\x00\x00\x00\xf4\x97\xccg\xaf\xac]@\x89\xf9\xa8u\xd1L?@\xfe',568
242,,Hengyong,衡雍,Zheng,"W of Yuanyang Co 原陽縣, Henan",35.052761,113.967907,"Xi 28.3; Wen 8.4(C), 8.4, Xuan 12.2; Xiang 8.8",,,b'\x00\x01\xe6\x10\x00\x00r\xa430\xf2}\\@\x8b\xc0X\xdf\xc0\x86A@r\xa430\xf2}\\@\x8b\xc0X\xdf\xc0\x86A@|\x01\x00\x00\x00r\xa430\xf2}\\@\x8b\xc0X\xdf\xc0\x86A@\xfe',"563,595,617,617,630"
243,,Hequ,河曲 (the bend of the Yellow River),Jin,"S of modern Yellow River黃河, flowing east, Shanxi",37.8734299,112.56272,"Wen 12.7(C), 12.6; Cheng 13.3. See map 3",,,b'\x00\x01\xe6\x10\x00\x00\x873\xbf\x9a\x03$\\@\x9d\xec\x0b\x8d\xcc\xefB@\x873\xbf\x9a\x03$\\@\x9d\xec\x0b\x8d\xcc\xefB@|\x01\x00\x00\x00\x873\xbf\x9a\x03$\\@\x9d\xec\x0b\x8d\xcc\xefB@\xfe',"576,613,613"
244,,Heyang,河陽,Jin,"W of Meng Co 孟縣, Henan",34.9073499,112.79134,"Xi 28.16(C), 28.9",,,b'\x00\x01\xe6\x10\x00\x00\x11\x01\x87P\xa52\\@\xb2C\xa1\n$tA@\x11\x01\x87P\xa52\\@\xb2C\xa1\n$tA@|\x01\x00\x00\x00\x11\x01\x87P\xa52\\@\xb2C\xa1\n$tA@\xfe',"630,630"
245,,Hong,紅,Lu,Unk,35.77757000000008,117.80171999999992,"Zhao 8.6(C), 8.4",,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',"532,532"
246,,Hongkou,鴻口,Song,"NW of Yucheng Co 虞城縣, Henan",34.406742,115.864501,Zhao 21.6,,,b'\x00\x01\xe6\x10\x00\x00\xff\x96\x00\xfcS\xf7\\@o\xf41\x1f\x104A@\xff\x96\x00\xfcS\xf7\\@o\xf41\x1f\x104A@|\x01\x00\x00\x00\xff\x96\x00\xfcS\xf7\\@o\xf41\x1f\x104A@\xfe',519
247,,Hou,郈,Lu,"SE of Dongping Co 東平縣, Shandong",35.92246,116.43753,"Zhao 25.10; Ding 10.6(C), 10.5, 10.7, 12.3(C), 12.2",,,b'\x00\x01\xe6\x10\x00\x005A\xd4}\x00\x1c]@ \xefU+\x13\xf6A@5A\xd4}\x00\x1c]@ \xefU+\x13\xf6A@|\x01\x00\x00\x005A\xd4}\x00\x1c]@ \xefU+\x13\xf6A@\xfe',"498,498,498,496,496,515"
248,,Hou,鄇,Zhou,"SW of Wuzhi Co 武陟縣, Henan",35.0828107,113.4132662,Cheng 11.7,,,b'\x00\x01\xe6\x10\x00\x00\xb3b\x13\xf4rZ\\@#!\x80\x8a\x99\x8aA@\xb3b\x13\xf4rZ\\@#!\x80\x8a\x99\x8aA@|\x01\x00\x00\x00\xb3b\x13\xf4rZ\\@#!\x80\x8a\x99\x8aA@\xfe',578
249,,Houli,侯麗,Qin,"S bank of Jing River 涇水, a tributary of Wei River 渭水",34.90183312,108.4045632,Cheng 13.3.,,,b'\x00\x01\xe6\x10\x00\x00\x91J\x0c]\xe4\x19[@\xc1l\x86DosA@\x91J\x0c]\xe4\x19[@\xc1l\x86DosA@|\x01\x00\x00\x00\x91J\x0c]\xe4\x19[@\xc1l\x86DosA@\xfe',576
250,,Hu  .,胡 (1).,"Dom, CN Gui 歸, later Chu","Modern Fuyang City 阜陽市, Anhui.",32.8896299,115.81495,ng 15.1(C) et passim.,,,b'\x00\x01\xe6\x10\x00\x00\x03x\x0b$(\xf4\\@\x9a\x05\x7fd\xdfq@@\x03x\x0b$(\xf4\\@\x9a\x05\x7fd\xdfq@@|\x01\x00\x00\x00\x03x\x0b$(\xf4\\@\x9a\x05\x7fd\xdfq@@\xfe',
251,,DiHu,胡 (2).,"Dom, CN Ji 姬, later Qi.","E of Luohe City 漯河市, Henan.",33.5814899,114.01681,"Ai 6.6, 8.4",,,"b""\x00\x01\xe6\x10\x00\x00\xbb\x0f@j\x13\x81\\@'\xba\xd3Bn\xca@@\xbb\x0f@j\x13\x81\\@'\xba\xd3Bn\xca@@|\x01\x00\x00\x00\xbb\x0f@j\x13\x81\\@'\xba\xd3Bn\xca@@\xfe""","488,486"
252,,Hu,扈 (1),Ancient dom,"N of Hu Co 戶縣, Shaanxi",34.1084699,108.60494,Zhao 1.2,,,b'\x00\x01\xe6\x10\x00\x00\xb4\x02CV\xb7&[@\xda\x8cxW\xe2\rA@\xb4\x02CV\xb7&[@\xda\x8cxW\xe2\rA@|\x01\x00\x00\x00\xb4\x02CV\xb7&[@\xda\x8cxW\xe2\rA@\xfe',539
253,,Hu,扈 (2),Qi,"P, in Fan Co 范縣, Shandong",36.6682599,117.02076,Zhuang 23.1(C),,,b'\x00\x01\xe6\x10\x00\x00(D\xc0!TA]@7\xddW\x8a\x89UB@(D\xc0!TA]@7\xddW\x8a\x89UB@|\x01\x00\x00\x00(D\xc0!TA]@7\xddW\x8a\x89UB@\xfe',669
254,,Hu,扈 (3),Zheng,"W of Yuanyang Co 原陽縣, Henan",35.052761,113.967907,"Wen 7.8(C), 7.6, 8.4, 15.10(C), 15.9, 17.4(C), 17.4; Xuan 1.8, 9.7(C), 9.9(C), 9.4; Cheng 16.14(C), 16.11; Zhao 27.5(C), 27.4.",,,b'\x00\x01\xe6\x10\x00\x00r\xa430\xf2}\\@\x8b\xc0X\xdf\xc0\x86A@r\xa430\xf2}\\@\x8b\xc0X\xdf\xc0\x86A@|\x01\x00\x00\x00r\xa430\xf2}\\@\x8b\xc0X\xdf\xc0\x86A@\xfe',"573,573,606,598,598,598,618,618,617,610,610,608,608"
255,,Hua .,滑 (1).,Zheng,"NW of Sui Co 睢縣, Henan.",34.429714,115.081093,"Zhuang 3.5(C), 3.4",,,b'\x00\x01\xe6\x10\x00\x00\xcf\xbb\xb1\xa00\xc5\\@\x11QL\xde\x007A@\xcf\xbb\xb1\xa00\xc5\\@\x11QL\xde\x007A@|\x01\x00\x00\x00\xcf\xbb\xb1\xa00\xc5\\@\x11QL\xde\x007A@\xfe',"689,689"
256,,Hua,滑 (2),"Dom, CN Ji 姬, taken by Zheng, then Jin, then Zhou","Also known as Bihua 費滑 Goushi Town 緱氏鎮, Yanshi Co 偃師縣, Henan.",34.61369,112.78659,"Xi 20.4(C), 20.2, 24.2, 33.1(C), 33.1; Cheng 17.1; Xiang 29.11; Zhao 26.7, 26.9; Ding 6.5.",,,b'\x00\x01\xe6\x10\x00\x00\x15W\x95}W2\\@\xed\xf0\xd7d\x8dNA@\x15W\x95}W2\\@\xed\xf0\xd7d\x8dNA@|\x01\x00\x00\x00\x15W\x95}W2\\@\xed\xf0\xd7d\x8dNA@\xfe',"502,514,514,542,572,638,638,634,625,625"
257,,Huai  (river).,淮,,Modern Huai River 淮河.,32.7952408,116.9827042,Huan 8.2; Zhao 12.4; Ding 4.3; Ai 9.5,,,b'\x00\x01\xe6\x10\x00\x00\x14)(\xa0\xe4>]@\xf28Vs\xcae@@\x14)(\xa0\xe4>]@\xf28Vs\xcae@@|\x01\x00\x00\x00\x14)(\xa0\xe4>]@\xf28Vs\xcae@@\xfe',"485,504,528,702"
258,,Huai,懷,"Zhou, taken by Zheng, then Jin","W of Wushe Co 武涉縣, Henan",34.7657099,113.75322,Yin 11.5; Xuan 6.3.,,,b'\x00\x01\xe6\x10\x00\x00\\\xac\xa8\xc14p\\@\x99\\1\xc8\x02bA@\\\xac\xa8\xc14p\\@\x99\\1\xc8\x02bA@|\x01\x00\x00\x00\\\xac\xa8\xc14p\\@\x99\\1\xc8\x02bA@\xfe',"601,711"
259,,Huaitui . .,壞隤,Lu,"In Qufu Co 曲阜縣, Shandong.",35.53986,117.04719,"Cheng 16.5, 16.6; Ding 1.2",,,b'\x00\x01\xe6\x10\x00\x00\xb0\xac4)\x05C]@\x935\xea!\x1a\xc5A@\xb0\xac4)\x05C]@\x935\xea!\x1a\xc5A@|\x01\x00\x00\x00\xb0\xac4)\x05C]@\x935\xea!\x1a\xc5A@\xfe',"507,573,573"
260,,Huan,讙,"Lu, taken and then returned by Qi","N of Ningyang Co 寧陽縣, Shandong",35.7605999,116.80112,"Huan 3.6(C), 3.7; Ding 8.10, 10.5(C), 10.3; Ai 8.3(C), 8.7(C), 8.3, 8.7, 15.4",,,b'\x00\x01\xe6\x10\x00\x00\xfa\n\xd2\x8cE3]@\xa2\xebgV[\xe1A@\xfa\n\xd2\x8cE3]@\xa2\xebgV[\xe1A@|\x01\x00\x00\x00\xfa\n\xd2\x8cE3]@\xa2\xebgV[\xe1A@\xfe',"486,486,486,486,479,500,498,498,707,707"
261,,Huan (river).,洹,,"Modern Anyang River 安陽河, Henan.",36.097524,114.3930629,Cheng 17.8.,,,"b""\x00\x01\xe6\x10\x00\x00W1K\xf1'\x99\\@\x9dI\x9b\xaa{\x0cB@W1K\xf1'\x99\\@\x9dI\x9b\xaa{\x0cB@|\x01\x00\x00\x00W1K\xf1'\x99\\@\x9dI\x9b\xaa{\x0cB@\xfe""",572
262,,Huang,皇,Zhou,"SW of Gong Co 鞏縣, Henan",34.7479799,113.02206,"Zhao 22.7(C), 22.5",,,"b'\x00\x01\xe6\x10\x00\x00/\xa3XniA\\@]H,\xce\xbd_A@/\xa3XniA\\@]H,\xce\xbd_A@|\x01\x00\x00\x00/\xa3XniA\\@]H,\xce\xbd_A@\xfe'","518,518"
263,,Huang  (1).,黃,"Dom, CN Ying 嬴.","In Huangchuan Co 潢川縣, Henan.",32.111142,115.103443,Huan 8.2.,,,b'\x00\x01\xe6\x10\x00\x00\x02\x80c\xcf\x9e\xc6\\@$\x9b\xab\xe69\x0e@@\x02\x80c\xcf\x9e\xc6\\@$\x9b\xab\xe69\x0e@@|\x01\x00\x00\x00\x02\x80c\xcf\x9e\xc6\\@$\x9b\xab\xe69\x0e@@\xfe',702
264,,Huang,黃 (2),Song,"E of Minquan Co 民權縣, Henan",34.6762399,115.40713,Yin 1.8,,,b'\x00\x01\xe6\x10\x00\x00\x1c\xce\xfcj\x0e\xda\\@\n`o\x07\x8fVA@\x1c\xce\xfcj\x0e\xda\\@\n`o\x07\x8fVA@|\x01\x00\x00\x00\x1c\xce\xfcj\x0e\xda\\@\n`o\x07\x8fVA@\xfe',721
265,,Huang,黃 (3),Qi,"NE of Zichuan District 淄川區, Zibo City 淄博市, Shandong",36.6434999,117.96673,"Huan 17.1(C), 17.1; Xuan 8.2(C); Ding 12.7(C), 12.9(C)",,,b'\x00\x01\xe6\x10\x00\x00\xf9\x83\x81\xe7\xde}]@Y\xbdh4^RB@\xf9\x83\x81\xe7\xde}]@Y\xbdh4^RB@|\x01\x00\x00\x00\xf9\x83\x81\xe7\xde}]@Y\xbdh4^RB@\xfe',"496,496,599,693,693"
266,,Huangchi,黃池.,,"S of Fengqiu Co 封丘縣, Henan.",35.0411899,114.41861,"Ai 13.3(C), 13.2, 20.3.",,,b'\x00\x01\xe6\x10\x00\x00\xd4\xf1\x98\x81\xca\x9a\\@w\xb6\xec\xb5E\x85A@\xd4\xf1\x98\x81\xca\x9a\\@w\xb6\xec\xb5E\x85A@|\x01\x00\x00\x00\xd4\xf1\x98\x81\xca\x9a\\@w\xb6\xec\xb5E\x85A@\xfe',"481,481,474"
267,,Huangfu,黃父 (mountain),Jin,"Possibly same as Heirang 黑壤 Modern Wu­ling Mountains 烏嶺, NE of Yicheng Co 翼城縣, Shandong.",36.6682599,117.02076,"Wen 17.4; Xuan 7.4; Zhao 25.2(C), 25.3; Ding 4.2.",,,b'\x00\x01\xe6\x10\x00\x00(D\xc0!TA]@7\xddW\x8a\x89UB@(D\xc0!TA]@7\xddW\x8a\x89UB@|\x01\x00\x00\x00(D\xc0!TA]@7\xddW\x8a\x89UB@\xfe',"504,515,515,600,608"
268,,"Huanggu . , .",荒谷,Chu,"outside cap. W of Jinan Wall 紀南城, N of Jiangling Co 江陵縣, Hubei",30.0418399,112.4247,Huan 13.1,,,b'\x00\x01\xe6\x10\x00\x00\x1e\xa7\xe8H.\x1b\\@\xfc*\n\x05\xb6\n>@\x1e\xa7\xe8H.\x1b\\@\xfc*\n\x05\xb6\n>@|\x01\x00\x00\x00\x1e\xa7\xe8H.\x1b\\@\xfc*\n\x05\xb6\n>@\xfe',697
269,,Huangpu,荒浦,Shu 舒,"On Huangpi River 黃陂河, SE of Shucheng Co 舒城縣, Anhui",31.4834699,116.95845,Xiang 24.9.,,,b'\x00\x01\xe6\x10\x00\x00z6\xab>W=]@\xb3\x19\xf1\xae\xc4{?@z6\xab>W=]@\xb3\x19\xf1\xae\xc4{?@|\x01\x00\x00\x00z6\xab>W=]@\xb3\x19\xf1\xae\xc4{?@\xfe',547
270,,Huangya . .,黃崖,Zheng,"S of Xinzheng Co 新鄭縣, Henan.",34.39603,113.73097,Xiang 28.12,,,b'\x00\x01\xe6\x10\x00\x00\xdb\x16e6\xc8n\\@\x11\x1em\x1c\xb12A@\xdb\x16e6\xc8n\\@\x11\x1em\x1c\xb12A@|\x01\x00\x00\x00\xdb\x16e6\xc8n\\@\x11\x1em\x1c\xb12A@\xfe',543
271,,Huanyuan,轘轅 (mountain),Zhou,"NW of Dengfeng Co 登封縣, Henan",34.45488,113.01869,Xiang 21.5.,,,b'\x00\x01\xe6\x10\x00\x00\xc9\xb0\x8a72A\\@`\xcd\x01\x829:A@\xc9\xb0\x8a72A\\@`\xcd\x01\x829:A@|\x01\x00\x00\x00\xc9\xb0\x8a72A\\@`\xcd\x01\x829:A@\xfe',550
272,,Huarui (river). . .,滑汭,Chu,Unk,35.777570000000104,117.80171999999985,Xuan 8.3,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',599
273,,Huchu,狐、厨 (disputed whether this is two places or one),Jin,"P, near Former Xiangling Town 襄陵鎮, Shanxi",35.97121,111.36472,Xi 16.3.,,,b'\x00\x01\xe6\x10\x00\x00\x9e\x0c\x8e\x92W\xd7[@*\xc6\xf9\x9bP\xfcA@\x9e\x0c\x8e\x92W\xd7[@*\xc6\xf9\x9bP\xfcA@|\x01\x00\x00\x00\x9e\x0c\x8e\x92W\xd7[@*\xc6\xf9\x9bP\xfcA@\xfe',642
274,,Hui . .,虺,Chu,"In Lujiang Co 廬江縣, Anhui.",31.3247199,117.09296,Cheng 17.11,,,b'\x00\x01\xe6\x10\x00\x00\x84\xf5\x7f\x0e\xf3E]@C\xdc\xe6\xd7 S?@\x84\xf5\x7f\x0e\xf3E]@C\xdc\xe6\xd7 S?@|\x01\x00\x00\x00\x84\xf5\x7f\x0e\xf3E]@C\xdc\xe6\xd7 S?@\xfe',572
275,,Hukou,壺口,Jin,"Modern Huguan 壺關, SE of Changzhi Co 長治縣, Shanxi",36.1156699,113.20733,Ai 4.3.,,,b'\x00\x01\xe6\x10\x00\x00\xb3^\x0c\xe5DM\\@\xd8\xd0rE\xce\x0eB@\xb3^\x0c\xe5DM\\@\xd8\xd0rE\xce\x0eB@|\x01\x00\x00\x00\xb3^\x0c\xe5DM\\@\xd8\xd0rE\xce\x0eB@\xfe',490
276,,Hulao . .,虎牢,Zheng,"Probably to be identified with Zhi 制. Modern Sishui Community 汜水公社, Rongyang Co 榮陽縣, Henan.",34.7876199,113.38349,"Zhuang 21.1; Xi 4.2; Wen 8.1; Xiang 2.9(C), 2.5, 2.7, 9.5, 10.9(C), 10.10. See map 3.",,,b'\x00\x01\xe6\x10\x00\x00\xf4\x15\xa4\x19\x8bX\\@\xe3\x16\x98\xba\xd0dA@\xf4\x15\xa4\x19\x8bX\\@\xe3\x16\x98\xba\xd0dA@|\x01\x00\x00\x00\xf4\x15\xa4\x19\x8bX\\@\xe3\x16\x98\xba\xd0dA@\xfe',"569,569,569,562,561,561,617,654,671"
277,,Huo,霍 (1).,"Dom, CN Ji 姬, later Jin.","SW of Huo Co 霍縣, Shanxi.",36.5687698,111.7550647,Min 1.6; Xi 24.2; Xiang 29.11.,,,b'\x00\x01\xe6\x10\x00\x00M7\xe4\xfaR\xf0[@\xea\xf9\xe4r\xcdHB@M7\xe4\xfaR\xf0[@\xea\xf9\xe4r\xcdHB@|\x01\x00\x00\x00M7\xe4\xfaR\xf0[@\xea\xf9\xe4r\xcdHB@\xfe',"542,634,659"
278,,Huo,霍 (2).,,"Unclaimed, later Chu. In Linru Co 臨汝縣, Henan.",34.259004,112.603537,Ai 4.2,,,"b""\x00\x01\xe6\x10\x00\x00C;\xa7Y\xa0&\\@?\xc4\x06\x0b'!A@C;\xa7Y\xa0&\\@?\xc4\x06\x0b'!A@|\x01\x00\x00\x00C;\xa7Y\xa0&\\@?\xc4\x06\x0b'!A@\xfe""",490
279,,Huoren,霍人,Jin,"E of Fanshi Co 繁峙縣, Shanxi",39.1890399,113.26547,Xiang 10.2,,,b'\x00\x01\xe6\x10\x00\x00l\x04\xe2u\xfdP\\@\xce\x11\x9eu2\x98C@l\x04\xe2u\xfdP\\@\xce\x11\x9eu2\x98C@|\x01\x00\x00\x00l\x04\xe2u\xfdP\\@\xce\x11\x9eu2\x98C@\xfe',561
280,,Huqiu,壺丘,Chen,"SE of Xincai Co 新蔡縣, Henan",32.74804,114.97608,Wen 9.7,,,b'\x00\x01\xe6\x10\x00\x00\xe6\x91?\x18x\xbe\\@\xc8\x0cT\xc6\xbf_@@\xe6\x91?\x18x\xbe\\@\xc8\x0cT\xc6\xbf_@@|\x01\x00\x00\x00\xe6\x91?\x18x\xbe\\@\xc8\x0cT\xc6\xbf_@@\xfe',616
281,,Huqiu,瓠丘,Jin,"SE of Yuanqu Co 垣曲縣, Shanxi",35.29352,111.64815,Xiang 1.1,,,b'\x00\x01\xe6\x10\x00\x00\xc19#J{\xe9[@h\\8\x10\x92\xa5A@\xc19#J{\xe9[@h\\8\x10\x92\xa5A@|\x01\x00\x00\x00\xc19#J{\xe9[@h\\8\x10\x92\xa5A@\xfe',570
282,,Hurang,狐壤,Zheng,"N of Xuchang City 許昌市, Henan",34.1259599,113.82272,Yin 11.8,,,b'\x00\x01\xe6\x10\x00\x00\xf8p\xc9q\xa7t\\@\xc0\x8d9t\x1f\x10A@\xf8p\xc9q\xa7t\\@\xc0\x8d9t\x1f\x10A@|\x01\x00\x00\x00\xf8p\xc9q\xa7t\\@\xc0\x8d9t\x1f\x10A@\xfe',711
283,,Huren,狐人,Zhou,"In Linying Co 臨潁縣, Henan",33.8296951,113.9674515,Ding 6.5,,,b'\x00\x01\xe6\x10\x00\x00\xd5=\xb2\xb9\xea}\\@c\x13\xf4r3\xea@@\xd5=\xb2\xb9\xea}\\@c\x13\xf4r3\xea@@|\x01\x00\x00\x00\xd5=\xb2\xb9\xea}\\@c\x13\xf4r3\xea@@\xfe',502
284,,Hutai . Same place as Taishang 駘上. .,狐駘,Zhu,"S of Teng Co 滕縣, Shandong.",35.084021,117.164388,,,,b'\x00\x01\xe6\x10\x00\x00\xb6\xf6>U\x85J]@\xaf\x96;3\xc1\x8aA@\xb6\xf6>U\x85J]@\xaf\x96;3\xc1\x8aA@|\x01\x00\x00\x00\xb6\xf6>U\x85J]@\xaf\x96;3\xc1\x8aA@\xfe',
285,,Huyou,戶牖,,"NE of Lankao Co 蘭考縣, Henan.",34.9677799,115.028,Xiang 4.8.. Ai 13.4.,,,b'\x00\x01\xe6\x10\x00\x00o\x12\x83\xc0\xca\xc1\\@\xf2\x1c66\xe0{A@o\x12\x83\xc0\xca\xc1\\@\xf2\x1c66\xe0{A@|\x01\x00\x00\x00o\x12\x83\xc0\xca\xc1\\@\xf2\x1c66\xe0{A@\xfe',567
286,,Ji,紀,"Dom, CN Jiang 姜","S of Shouguang Co 壽廣縣, Shandong",36.6845599,118.4796599,Yin 1.6 ­ et passim. See map 2,,,b'\x00\x01\xe6\x10\x00\x00\xf8\xeco\xbf\xb2\x9e]@\x97S\xa7\xa8\x9fWB@\xf8\xeco\xbf\xb2\x9e]@\x97S\xa7\xa8\x9fWB@|\x01\x00\x00\x00\xf8\xeco\xbf\xb2\x9e]@\x97S\xa7\xa8\x9fWB@\xfe',721
287,,Ji,極,Dom,"Neighboring Lu, also considered part of Lu S of Jinxiang Co 金鄉縣, Shandong.",35.07012,116.31894,"Yin 2.3(C), 2.3",,,b'\x00\x01\xe6\x10\x00\x00\xb8XQ\x83i\x14]@\xd4e1\xb1\xf9\x88A@\xb8XQ\x83i\x14]@\xd4e1\xb1\xf9\x88A@|\x01\x00\x00\x00\xb8XQ\x83i\x14]@\xd4e1\xb1\xf9\x88A@\xfe',"720,720"
288,,Ji,棘 (1),Chu,"S of Yongcheng Co 永城縣, Henan",33.9291499,116.44946,"Xiang 26.10; Zhao 4.7, 5.8",,,b'\x00\x01\xe6\x10\x00\x00\r7\xe0\xf3\xc3\x1c]@t\xcaHb\xee\xf6@@\r7\xe0\xf3\xc3\x1c]@t\xcaHb\xee\xf6@@|\x01\x00\x00\x00\r7\xe0\xf3\xc3\x1c]@t\xcaHb\xee\xf6@@\xfe',"536,535,545"
289,,Ji,棘 (2),Lu,"S of Feicheng Co 肥城縣, Shandong",36.13762,116.57356,"Cheng 3.9(C), 3.5",,,b'\x00\x01\xe6\x10\x00\x00\xcd\x92\x005\xb5$]@D\xa3;\x88\x9d\x11B@\xcd\x92\x005\xb5$]@D\xa3;\x88\x9d\x11B@|\x01\x00\x00\x00\xcd\x92\x005\xb5$]@D\xa3;\x88\x9d\x11B@\xfe',"586,586"
290,,Ji,棘 (3),Qi,"NW of Linzi District 臨淄區, Zibo City 淄博市, Shandong",36.7993999,118.38912,Zhao 10.2.,,,b'\x00\x01\xe6\x10\x00\x00\r\x8e\x92W\xe7\x98]@|ve\xbcRfB@\r\x8e\x92W\xe7\x98]@|ve\xbcRfB@|\x01\x00\x00\x00\r\x8e\x92W\xe7\x98]@|ve\xbcRfB@\xfe',530
291,,Ji . .,冀 (1),,"Dom NE of Hejin Co 河津縣, Shanxi.",35.5964299,110.71186,"Xi 2.2, 25.4, 33.6",,,b'\x00\x01\xe6\x10\x00\x00(\xd5>\x1d\x8f\xad[@\xa3m\xa1\xd0W\xccA@(\xd5>\x1d\x8f\xad[@\xa3m\xa1\xd0W\xccA@|\x01\x00\x00\x00(\xd5>\x1d\x8f\xad[@\xa3m\xa1\xd0W\xccA@\xfe',"656,633,625"
292,,Ji 冀 / Jifang 冀方 (2). .,,Jin,N of Hebei and Shanxi.,38.0359899,114.46979,Zhao 4.1; Ai 6.4.,,,b'\x00\x01\xe6\x10\x00\x009\x7f\x13\n\x11\x9e\\@?\xbe)Q\x9b\x04C@9\x7f\x13\n\x11\x9e\\@?\xbe)Q\x9b\x04C@|\x01\x00\x00\x009\x7f\x13\n\x11\x9e\\@?\xbe)Q\x9b\x04C@\xfe',"488,536"
293,,Ji,箕,Jin,"NE of Bo Co 薄縣, Shanxi",37.8734299,112.56272,"Xi 33.8(C), 33.6; Wen 2.1; Cheng 13.3, 16.5; Zhao 23.2, 24.2.",,,b'\x00\x01\xe6\x10\x00\x00\x873\xbf\x9a\x03$\\@\x9d\xec\x0b\x8d\xcc\xefB@\x873\xbf\x9a\x03$\\@\x9d\xec\x0b\x8d\xcc\xefB@|\x01\x00\x00\x00\x873\xbf\x9a\x03$\\@\x9d\xec\x0b\x8d\xcc\xefB@\xfe',"517,516,576,573,623,625,625"
294,,Ji . . .,蔇,Lu,Unk,35.77757000000008,117.80171999999992,"Zhuang 9.2(C), 9.2",,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',"683,683"
295,,Ji Marsh,雞澤,Jin,"NE of Handan City 邯鄲市, Hebei",36.6255599,114.53918,"Xiang 3.5(C), 3.5, 3.9, 5.5, 30.10",,,b'\x00\x01\xe6\x10\x00\x00\x11\xaa\xd4\xec\x81\xa2\\@2\x18\xc8X\x12PB@\x11\xaa\xd4\xec\x81\xa2\\@2\x18\xc8X\x12PB@|\x01\x00\x00\x00\x11\xaa\xd4\xec\x81\xa2\\@2\x18\xc8X\x12PB@\xfe',"568,568,568,566,541"
296,,"Ji River, west . .",濟西,Lu,West bank of the Ji River 濟水.,31.9465703,35.3027226,"Zhuang 18.2(C), 18.3; Xi 31.1(C), 31.1; Xuan 1.8(C), 1.7, 10.3(C), 10.1.",,,b'\x00\x01\xe6\x10\x00\x00Ka9\x9d\xbf\xa6A@k\xddanR\xf2?@Ka9\x9d\xbf\xa6A@k\xddanR\xf2?@|\x01\x00\x00\x00Ka9\x9d\xbf\xa6A@k\xddanR\xf2?@\xfe',"606,606,597,597,627,627,674,674"
297,,Jia  (1). .,郟,Zhou,"Modern Luoyang City 洛陽市, Henan.",34.6181299,112.45402,"Huan 7.3; Xiang 24.11, 25.16, 26.14.",,,b'\x00\x01\xe6\x10\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@|\x01\x00\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xfe',"547,546,545,703"
298,,Jia,郟 (2),"Zheng, then Chu","Area formerly governed by Jia Co 郟縣, Henan",33.9717999,113.21262,"Zhao 1.13, 19.1.",,,b'\x00\x01\xe6\x10\x00\x00o\x9e\xea\x90\x9bM\\@\xc7`j\xf0c\xfc@@o\x9e\xea\x90\x9bM\\@\xc7`j\xf0c\xfc@@|\x01\x00\x00\x00o\x9e\xea\x90\x9bM\\@\xc7`j\xf0c\xfc@@\xfe',"539,521"
299,,Jia . . .,駕,Chu,Unk,35.777570000000104,117.80171999999985,Cheng 17.11; Xiang 3.1,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',"568,572"
300,,Jiagu,夾谷,Qi,"Jiawu Co 莢蕪縣, Shandong",36.6682599,117.02076,"Ding 10.2(C), 10.3(C), 10.1. See map 2",,,b'\x00\x01\xe6\x10\x00\x00(D\xc0!TA]@7\xddW\x8a\x89UB@(D\xc0!TA]@7\xddW\x8a\x89UB@|\x01\x00\x00\x00(D\xc0!TA]@7\xddW\x8a\x89UB@\xfe',"498,498,498"
