ogc_fid,field_1,name,hanzi,polity,location,latitude,longitude,entries,field_9,field_10,GEOMETRY,years
94,,Chuijia,垂葭,Qi,"SW of Juye Co 巨野縣, Shandong",35.3963299,116.09495,"Ding 13.1(C), 13.1",,,b'\x00\x01\xe6\x10\x00\x00U0*\xa9\x13\x06]@\xa6v+\xf0\xba\xb2A@U0*\xa9\x13\x06]@\xa6v+\xf0\xba\xb2A@|\x01\x00\x00\x00U0*\xa9\x13\x06]@\xa6v+\xf0\xba\xb2A@\xfe',"495,495"
95,,Chuilong,垂隴,Zheng,"NE of Xingyang Co 滎陽縣, Henan",34.7901604,113.410389,"Wen 2.4(C), 2.4; Xiang 27.5",,,b'\x00\x01\xe6\x10\x00\x00\xd7h9\xd0CZ\\@\x11L\xda\xf9#eA@\xd7h9\xd0CZ\\@\x11L\xda\xf9#eA@|\x01\x00\x00\x00\xd7h9\xd0CZ\\@\x11L\xda\xf9#eA@\xfe',"544,623,623"
96,,Chunliu,純留,Jin,"S of Tunliu Co 屯留縣, Shanxi",36.3155299,112.89221,Xiang 18.2,,,b'\x00\x01\xe6\x10\x00\x00\x82\xca\xf8\xf7\x199\\@\x80\xb4\xa4Hc(B@\x82\xca\xf8\xf7\x199\\@\x80\xb4\xa4Hc(B@|\x01\x00\x00\x00\x82\xca\xf8\xf7\x199\\@\x80\xb4\xa4Hc(B@\xfe',553
97,,Chunyu,淳于,Cap of Zhou 州,"NE of Anqiu Co 安丘縣, Shandong",36.36104,119.16773,Huan 5.6; Zhao 1.1,,,b'\x00\x01\xe6\x10\x00\x00\xb8#\x9c\x16\xbc\xca]@ F\x08\x8f6.B@\xb8#\x9c\x16\xbc\xca]@ F\x08\x8f6.B@|\x01\x00\x00\x00\xb8#\x9c\x16\xbc\xca]@ F\x08\x8f6.B@\xfe',"539,705"
98,,Chuqiu,楚丘 (1),Wei,"E of Hua Co 滑縣, Henan",35.5753399,114.5193,Min 2.9; Xi 2.1(C),,,b'\x00\x01\xe6\x10\x00\x00\x054\x116<\xa1\\@\xbeJ\xe3\xbc\xa4\xc9A@\x054\x116<\xa1\\@\xbeJ\xe3\xbc\xa4\xc9A@|\x01\x00\x00\x00\x054\x116<\xa1\\@\xbeJ\xe3\xbc\xa4\xc9A@\xfe',"656,658"
99,,Chuqiu,楚丘 (2),Between Song and Cao,"SW of Chengwu Co 成武縣, Shandong",34.9757025,115.9889939,"Yin 7.6(C), 7.5; Xiang 10.2",,,b'\x00\x01\xe6\x10\x00\x00b\x1c\x12\xadK\xff\\@\x0e\x10\xcc\xd1\xe3|A@b\x1c\x12\xadK\xff\\@\x0e\x10\xcc\xd1\xe3|A@|\x01\x00\x00\x00b\x1c\x12\xadK\xff\\@\x0e\x10\xcc\xd1\xe3|A@\xfe',"561,715,715"
100,,Churen,鉏任,Xu,"Xuchang Co 許昌縣, Henan",34.1259599,113.82272,Cheng 4.5,,,b'\x00\x01\xe6\x10\x00\x00\xf8p\xc9q\xa7t\\@\xc0\x8d9t\x1f\x10A@\xf8p\xc9q\xa7t\\@\xc0\x8d9t\x1f\x10A@|\x01\x00\x00\x00\xf8p\xc9q\xa7t\\@\xc0\x8d9t\x1f\x10A@\xfe',585
101,,Chushi,褚氏,Zhou,"P near Luoyang 洛陽, Henan",34.6181299,112.45402,Zhao 26.7,,,b'\x00\x01\xe6\x10\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@|\x01\x00\x00\x00\xb7\xee\xe6\xa9\x0e\x1d\\@\x02\x97l\xe1\x1eOA@\xfe',514
102,,Cuanhan,欑函,Wei,Unk,35.77757000000004,117.80172000000007,Xuan 11.4,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',596
103,,Cuanmao,櫕茅,"Zhou, then Jin","Xiuwu Co 修武縣, Henan",35.2236099,113.44776,Yin 11.5; Xi 25.2,,,b'\x00\x01\xe6\x10\x00\x00?\x1d\x8f\x19\xa8\\\\@\xea\xc7\xcb?\x9f\x9cA@?\x1d\x8f\x19\xa8\\\\@\xea\xc7\xcb?\x9f\x9cA@|\x01\x00\x00\x00?\x1d\x8f\x19\xa8\\\\@\xea\xc7\xcb?\x9f\x9cA@\xfe',"633,711"
104,,Cui,崔,Qi,"NE of Jiyang Co 濟陽縣, Shandong",36.9784699,117.17333,Xiang 27.7,,,b'\x00\x01\xe6\x10\x00\x00\x9bZ\xb6\xd6\x17K]@iOn\x80>}B@\x9bZ\xb6\xd6\x17K]@iOn\x80>}B@|\x01\x00\x00\x00\x9bZ\xb6\xd6\x17K]@iOn\x80>}B@\xfe',544
105,,Cui . . .,趡,Lu,Unk,35.77757000000008,117.80171999999992,Huan 17.2.,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',693
106,,Dabie,大別 (mountain),Chu,"Modern Anyang Mountain 安陽山, SW of Huoqiu Co 霍丘縣, Anhui",32.33721,116.27533,Ding 4.3,,,"b'\x00\x01\xe6\x10\x00\x00\xe4f\xb8\x01\x9f\x11]@,\xf1\x80\xb2)+@@\xe4f\xb8\x01\x9f\x11]@,\xf1\x80\xb2)+@@|\x01\x00\x00\x00\xe4f\xb8\x01\x9f\x11]@,\xf1\x80\xb2)+@@\xfe'",504
107,,Dacheng,大城,Cao,"In Heze Co 菏澤縣, Shandong",35.15129,115.50733,Ai 7.5,,,b'\x00\x01\xe6\x10\x00\x00\xe6\x91?\x18x\xe0\\@\x1e\x1b\x81x]\x93A@\xe6\x91?\x18x\xe0\\@\x1e\x1b\x81x]\x93A@|\x01\x00\x00\x00\xe6\x91?\x18x\xe0\\@\x1e\x1b\x81x]\x93A@\xfe',487
108,,Dai,戴,Dom,"E of Minquan Co 民權縣, Henan",34.6762399,115.40713,"Yin 10.4(C), 10.4",,,b'\x00\x01\xe6\x10\x00\x00\x1c\xce\xfcj\x0e\xda\\@\n`o\x07\x8fVA@\x1c\xce\xfcj\x0e\xda\\@\n`o\x07\x8fVA@|\x01\x00\x00\x00\x1c\xce\xfcj\x0e\xda\\@\n`o\x07\x8fVA@\xfe',"712,712"
109,,Daji,大棘,Song,"S of Sui Co 睢縣, Henan",34.429664,115.080638,"Xuan 2.1(C), 2.1, 2.2",,,"b'\x00\x01\xe6\x10\x00\x00&4I,)\xc5\\@`""\xde:\xff6A@&4I,)\xc5\\@`""\xde:\xff6A@|\x01\x00\x00\x00&4I,)\xc5\\@`""\xde:\xff6A@\xfe'","605,605,605"
110,,Dalin . .,大林,Chu,"NW of Jingmen Co 荆門縣, Hubei.",30.95195,112.26979,Wen 16.4.,,,b'\x00\x01\xe6\x10\x00\x00l\xb2F=D\x11\\@]m\xc5\xfe\xb2\xf3>@l\xb2F=D\x11\\@]m\xc5\xfe\xb2\xf3>@|\x01\x00\x00\x00l\xb2F=D\x11\\@]m\xc5\xfe\xb2\xf3>@\xfe',609
111,,Daling,大陵,Zheng,"N of Linying Co 臨潁縣, Henan",33.8296951,113.9674515,Zhuang 14.2,,,b'\x00\x01\xe6\x10\x00\x00\xd5=\xb2\xb9\xea}\\@c\x13\xf4r3\xea@@\xd5=\xb2\xb9\xea}\\@c\x13\xf4r3\xea@@|\x01\x00\x00\x00\xd5=\xb2\xb9\xea}\\@c\x13\xf4r3\xea@@\xfe',678
112,,Dalu,大陸,Jin,"NW of Huojia Co 獲嘉縣, Henan",35.2596199,113.65716,Ding 1.1,,,b'\x00\x01\xe6\x10\x00\x00R\x0f\xd1\xe8\x0ej\\@\x05\xf2\x919;\xa1A@R\x0f\xd1\xe8\x0ej\\@\x05\xf2\x919;\xa1A@|\x01\x00\x00\x00R\x0f\xd1\xe8\x0ej\\@\x05\xf2\x919;\xa1A@\xfe',507
113,,Dalu,大鹵,Jin,"SW of Taiyuan City 太原市, Shanxi",37.8705899,112.55067,Zhao 1.6(C),,,"b'\x00\x01\xe6\x10\x00\x00\xda8b->#\\@,]f}o\xefB@\xda8b->#\\@,]f}o\xefB@|\x01\x00\x00\x00\xda8b->#\\@,]f}o\xefB@\xfe'",539
114,,Daming,大冥,Chen,"In Xiangcheng Co 項城縣, Henan",33.43374,114.81779,Ai 6.4,,,b'\x00\x01\xe6\x10\x00\x00\xbc?\xde\xabV\xb4\\@\xc8{\xd5\xca\x84\xb7@@\xbc?\xde\xabV\xb4\\@\xc8{\xd5\xca\x84\xb7@@|\x01\x00\x00\x00\xbc?\xde\xabV\xb4\\@\xc8{\xd5\xca\x84\xb7@@\xfe',488
115,,Dan,聃,Dom,"Region of modern-day Kaifeng City 開封市, Henan",34.7569999,114.44136,Xi 24.2,,,b'\x00\x01\xe6\x10\x00\x00\xcep\x03>?\x9c\\@\xa2\xc9j_\xe5`A@\xcep\x03>?\x9c\\@\xa2\xc9j_\xe5`A@|\x01\x00\x00\x00\xcep\x03>?\x9c\\@\xa2\xc9j_\xe5`A@\xfe',634
116,,Dao,道,Dom,"N of Queshan Co 確山縣, Henan",32.762655,114.02833,Xi 5.7; Zhao 13.4,,,b'\x00\x01\xe6\x10\x00\x00\xb9\xdf\xa1(\xd0\x81\\@\xc1\x90\xd5\xad\x9ea@@\xb9\xdf\xa1(\xd0\x81\\@\xc1\x90\xd5\xad\x9ea@@|\x01\x00\x00\x00\xb9\xdf\xa1(\xd0\x81\\@\xc1\x90\xd5\xad\x9ea@@\xfe',"527,653"
117,,Dapang. .,大厖,Ju,"NW of Ju Co 莒縣, Shandong.",35.5799699,118.83687,Zhao 1.11.,,,b'\x00\x01\xe6\x10\x00\x00:@0G\x8f\xb5]@\x0b\x95$t<\xcaA@:@0G\x8f\xb5]@\x0b\x95$t<\xcaA@|\x01\x00\x00\x00:@0G\x8f\xb5]@\x0b\x95$t<\xcaA@\xfe',539
118,,Dasui,大隧 (2),Chu,"In Gaotang Co 高唐縣, Shandong",36.91778,116.2323,Xiang 19.12,,,b'\x00\x01\xe6\x10\x00\x00\x17\xb7\xd1\x00\xde\x0e]@!v\xa6\xd0yuB@\x17\xb7\xd1\x00\xde\x0e]@!v\xa6\xd0yuB@|\x01\x00\x00\x00\x17\xb7\xd1\x00\xde\x0e]@!v\xa6\xd0yuB@\xfe',552
119,,Daxia,大夏,Jin,"Ji Co 吉縣, Xi Co 隰縣, Yicheng Co 翼城縣, Shanxi",35.7382299,111.71836,Zhao 1.12,,,b'\x00\x01\xe6\x10\x00\x00K\xb08\x9c\xf9\xed[@\xf5\xb6>Q~\xdeA@K\xb08\x9c\xf9\xed[@\xf5\xb6>Q~\xdeA@|\x01\x00\x00\x00K\xb08\x9c\xf9\xed[@\xf5\xb6>Q~\xdeA@\xfe',539
120,,Daye,大野,Lu,"N of Juye Co 巨野縣, Shandong",35.3963299,116.09495,Ai 14.1,,,b'\x00\x01\xe6\x10\x00\x00U0*\xa9\x13\x06]@\xa6v+\xf0\xba\xb2A@U0*\xa9\x13\x06]@\xa6v+\xf0\xba\xb2A@|\x01\x00\x00\x00U0*\xa9\x13\x06]@\xa6v+\xf0\xba\xb2A@\xfe',480
121,,Deng,鄧 (1),Lu,Unk,35.77757000000008,117.80171999999992,Yin 10.1,,,b'\x00\x01\xe6\x10\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@|\x01\x00\x00\x00\x017\xe6\xd0}\xc6X\xc0\xeblm\x86\xc0YD@\xfe',712
122,,Deng,鄧 (2),Cai,"SE of Luohe City 漯河市, Henan",33.5814899,114.01681,"Huan 2.6(C), 2.4, Zhao 13.2",,,"b""\x00\x01\xe6\x10\x00\x00\xbb\x0f@j\x13\x81\\@'\xba\xd3Bn\xca@@\xbb\x0f@j\x13\x81\\@'\xba\xd3Bn\xca@@|\x01\x00\x00\x00\xbb\x0f@j\x13\x81\\@'\xba\xd3Bn\xca@@\xfe""","527,708,708"
123,,Deng,鄧 (3),"Dom, CN Man 曼; later Chu","In Deng Co 鄧縣, Henan",32.6877699,112.08736,Huan 9.2; Zhuang 6.3; Cheng 9.4; Zhao 9.3. See map 4,,,b'\x00\x01\xe6\x10\x00\x00\xa1\xbeeN\x97\x05\\@+\xd6\x15\xd8\x08X@@\xa1\xbeeN\x97\x05\\@+\xd6\x15\xd8\x08X@@|\x01\x00\x00\x00\xa1\xbeeN\x97\x05\\@+\xd6\x15\xd8\x08X@@\xfe',"531,580,686,701"
124,,Dianling,顛軨,Yu,"Modern Yuban 虞坂, NE of Pinglu Co 平陸縣, Shanxi",34.8369158,111.201448,Xi 2.2,,,b'\x00\x01\xe6\x10\x00\x00\x0e\xf6&\x86\xe4\xcc[@\xba@\x93\x0e kA@\x0e\xf6&\x86\xe4\xcc[@\xba@\x93\x0e kA@|\x01\x00\x00\x00\x0e\xf6&\x86\xe4\xcc[@\xba@\x93\x0e kA@\xfe',656
